title,date,text,link
오늘 시간외 특징주 요약 - 1월 7일,2025-01-07 18:54,"오늘 시간외 특징주 요약 - 1월 7일오늘 시간외 테마 요약 : 액침냉각 / 조선.조선기자재텍스트 버전은 하단에 ..** 출처 : 테마랩오늘의 시간외 특징주 - [2025-01-07]===============================================================================테마 이슈로 상승====================CES 2025 액침냉각 기술 주목 소식에 액침냉각 테마 상승==>케이엔솔          15,470  9.95%워트                  9,730  9.94%삼성공조          10,320  9.90%GST                  19,050  7.57%유니셈               6,670  4.71%한중엔시에스    29,500  4.42%지투파워            7,010  4.16%인성정보            1,952  3.12%3S                     1,990  2.37%이삭엔지니어링    7,350  1.94%한화엔진          21,200  9.90%장 마감 후 6,292.00억원 규모 공급계약 체결 공시-- 선박용 엔진 / 최근 매출액대비 73.6% 규모트럼프 당선인, 동맹국 활용 선박 건조 필요 언급에조선/조선기자재 테마 상승==>인화정공          30,300  3.41%HD현대마린엔진  24,850  3.11%일승                  4,815  2.77%한화오션          43,950  2.45%STX엔진            20,150  2.08%삼영엠텍            4,780  1.70%====================개발 이슈로 상승====================알체라               2,090  3.98%우체국뱅킹 앱에 AI 기반 얼굴 위조 판별 솔루션 공급 언론 보도제이씨현시스템    7,170  2.58%젠슨황  CEO CES 2025 기조연설에 엔비디아 파트너사 부각 지속현대제철          23,050  2.22%일본의 US스틸 인수 실패에 현대제철은 미국 직접투자 결정 언론 보도KTcs                  2,830  2.17%장 마감 후 현대자동차 주식회사와 747.02억원 규모 공급계약 체결 공시마음AI             20,500  1.99%금융업 디지털 혁신 선도…현대해상 VOC 시스템에 AI 기술 도입 언론 보도====================개별 이슈로 하락====================딥마인드            3,540 -1.94%장 마감 후 [투자주의]투자경고종목 지정예고랩지노믹스         3,600 -2.96%장 마감 후 단기과열종목(3거래일 단일가매매) 지정예고 공시",https://www.clien.net/service/board/cm_stock/18892695?od=T31&po=0&category=0&groupCd=
오늘 장마감 특징주 요약 - 1월 7일,2025-01-07 17:31,"오늘 장마감 특징주 요약 - 1월 7일텍스트 버전은 하단에 ..**출처 : 테마랩오늘의 정규장 특징주 - [2025-01-07]===============================================================================테마 이슈로 상승====================양자암호 테마 일부 상승 ( 일부 테마는 급락 )==>바이오로그디바이스       932 29.99%한국첨단소재      9,370 29.96%씨이랩               6,960  9.78%쏘닉스               3,355  5.84%폭스콘의 호실적과 CES2025 개대감, 미 필라델피아 반도체지수 연일 급등에반도체 / 유리기판 테마 상승==>램테크놀러지      4,055 29.97%HB테크놀러지      2,380 11.48%와이씨켐          16,060 11.07%테크윙             46,900  3.88%필옵틱스          21,250  1.92%한미반도체      101,300  1.81%엔비디아가 차세대 아키텍처 블랙웰 기반의 지포스 RTX신제품에 마이크론 GPDDR7 탑재 소식에==>저스템               9,210 29.90%--> 내부 습도 제어 장비 세계 시장 점유율 80% 차지하고 있는 동사 미국 공장 성능평가 소식아이엠티          11,010 23.57%--> 마이크론과 HBM용 웨이퍼 세정장 비 공동개발 공급 중인 동사 부각JP모건 헬스케어 콘퍼런스 개최 기대감에제약 / 바이오 테마 상승==>온코닉테라퓨틱스  18,380 12.90%비보존 제약        7,940 12.15%바이넥스          20,500  7.33%삼일제약          14,880  5.76%SK바이오팜      116,300  5.34%리가켐바이오   125,000  4.87%삼성바이오로직스 983,000  3.91%알테오젠         326,000  3.33%네오이뮨텍         1,212  1.59%젤렌스키 우크라이나 대통령의 트럼프 취임 후 전쟁 종전 협상 가능성 언급에우크라이나 재건/건설기계 테마 상승==>범양건영            3,085 21.46%대동기어          15,930  6.56%삼부토건               990  6.34%에스와이스틸텍    8,460  4.96%현대에버다임      8,740  1.86%트럼프 대통령 당선인의 동맥국을 활용해 해군의 선박 건조 역량 강화 가능성에조선/조선기자재 테마 상승==>HJ중공업            7,190 15.97%한화오션          42,900 12.60%일승                  4,685  8.70%현대힘스          14,410  5.49%성광벤드          25,200  4.35%삼성중공업       11,830  3.59%윤대통령 체포영장 연장 신청 소식에 정치인이재명 테마 일부 상승==>형지I&C              1,330 16.67%동신건설          54,300  6.68%형지엘리트         2,410  5.01%키움증권에서 주요 유통업체들의 4분기 실적은 대체로 무난할 것으로 전망하면서소매유통/백화점 템 상승==>이마트             65,400  4.14%GS리테일          17,560  1.92%====================개별 이슈로 상승====================MDS테크              1,366 29.97%AI솔루션 공급 파트너인 동사의 엔비디아 양자컴퓨터,휴머노이드 로봇 '젯슨' 수혜 기대감 지속제이씨현시스템    6,990 16.50%엔비디아 젠슨황 CES 2025 기조연설에서 '양자컴퓨터' 시대 언급에 엔비디아 파트너사인 동사 부각나노엔텍            4,165 15.69%동사와 공동 개발한 로레알 그룹이 세계 최대 가전박람회 ‘CES 2025’에서 단 5분 만에 개인 맞춤형 피부 분석을 제공하는 하드웨어 기기 '로레알 셀 바이오프린트'를 공개아티스트유나이티드  12,470 11.44%미국의 AI 기반 검색엔진 기업인 퍼플렉시티(Perplexity AI, Inc.)와 광고, 마케팅, 커머스 및 엔터테인먼트 산업을 위한 AI 기 반 서비스 개발 협력 언론 보도코웨이             70,300  9.67%전일 장 마감 후 보통주 1,235,874주 소각 결정  및 0.89% 비율의 감자 결정 공시기업가치 제고 계획 1분기중 발표 예고 공시디어유             32,100  9.18%신한투자증권에서  카카오엔터의 신규 팬덤 플랫폼 관련 보도에 대해 과도한 급락이라고 판단JYP Ent.          72,500  7.89%NH투자증권에서 신규 성장 동력(킥플립) 기대감에  4분기 실적 컨센서스 상회 전망케이엔알시스템    9,270  6.67%한국핵융합에너지연구원과 핵융합장치 원격 유지보수를 위한 로봇팔 시스템 개발 및 설치 계약 체결 언론 보도현대로템          55,700  6.50%한국투자증권에서 4A24 연결기준 실적 영업이익은 1,672억원(+139.7% YoY, OPM 13.1%)을 기록할 것으로 전망한화에어로스페이스 381,000  4.10%DS증권에서 미군은 차세대 자주포 시스템 도입 검토중, 인도 정보는 K9 자주포 100문 추가 도입 예산 승인 상태로 추가 수출 기 대감 전망====================테마 이슈로 하락====================양자암호 테마 일부 하락 ( 일부 테마는 상승  )==>코위버               7,750 -8.07%한울소재과학      6,730 -8.93%시큐센               3,055 -11.45%아톤                  7,850 -12.00%====================개별 이슈로 하락====================삼성전자          55,400 -0.89%폭스콘의 호실적과 CES2025 개대감, 미 필라델피아 반도체지수 연일 급등에 밭도체 / 유리기판 테마 상승 ( 삼성전자는 초반 승 승에서 하락 마감 )코스메카코리아  50,700 -3.61%하나증권에서 4분기 연결기준 영업이익 173억원(YoY+15%, 영업이익률 13%)으로 컨센서스(187억원)를 소폭 하회할 것으로 전망하나투어          52,700 -5.39%핸대차증권에서 1분기 일시적인 수요 위축에 25년 영업이익 전망치 하향 조정",https://www.clien.net/service/board/cm_stock/18892640?od=T31&po=0&category=0&groupCd=
오늘 장마감 주도주 / 테마주 순위 요약 - 1월 7일,2025-01-07 15:56,오늘 장마감 주도주 / 테마주 순위 요약 - 1월 7일오늘은 테마가 몇 개가 돌았는지 모르겠네요..텍스트 버전은 하단에 ..**출처 : 테마랩테마주 상승률 순위==================================반도체 장비 상위 5개 평균 10.95%-------------------------------------저스템                           29.90%아이엠티                         23.57%지앤비에스 에코                  17.28%HB테크놀러지                     11.48%유니테스트                       6.23%양자컴퓨터(양자암호) 상위 5개 평균 7.67%-------------------------------------바이오로그디바이스               29.99%한국첨단소재                     29.96%씨이랩                           9.78%쏘닉스                           5.84%한국정보인증                     1.39%5G(5세대 이동통신) 상위 5개 평균 7.63%-------------------------------------한국첨단소재                     29.96%아이크래프트                     15.53%LS에코에너지                     8.25%엔텔스                           6.22%쏘닉스                           5.84%반도체 소재/부품 상위 5개 평균 7.29%-------------------------------------램테크놀러지                     29.97%와이씨켐                         11.07%샘씨엔에스                       9.60%마이크로투나노                   4.48%메카로                           4.00%유리기판     상위 5개 평균 6.86%-------------------------------------램테크놀러지                     29.97%HB테크놀러지                     11.48%와이씨켐                         11.07%제이티                           3.89%로체시스템즈                     2.82%메타버스(Metaverse) 상위 5개 평균 6.77%-------------------------------------에스넷                           14.49%케이쓰리아이                     10.93%씨이랩                           9.78%디어유                           9.18%엔피                             5.25%지능형로봇  상위 5개 평균 6.69%-------------------------------------TPC                              15.74%딥마인드                         12.46%아티스트유나이티드               11.44%제이엘케이                       5.39%러셀                             4.40%신규상장주(8-1월) 상위 5개 평균 6.63%-------------------------------------온코닉테라퓨틱스                 12.90%케이쓰리아이                     10.93%제닉스                           7.89%아이언디바이스                   7.66%사이냅소프트                     6.60%방위산업/전쟁 및 테러 상위 5개 평균 6.52%-------------------------------------HJ중공업                         15.97%한화오션                         12.60%평화산업                         8.78%현대로템                         6.50%SNT다이내믹스                    5.18%OLED(유기 발광 다이오드) 상위 5개 평균 6.37%-------------------------------------램테크놀러지                     29.97%HB테크놀러지                     11.48%브이원텍                         4.61%에스에이티이엔지                 4.45%영우디에스피                     2.87%테마주 하락률 순위==================================지주사        하위 5개 평균 -9.05%-------------------------------------골든센츄리                       -66.67%두산밥캣                         -4.15%일동홀딩스                       -3.51%오가닉티코스메틱                 -2.53%OCI홀딩스                        -2.47%농업           하위 5개 평균 -7.74%-------------------------------------골든센츄리                       -66.67%포메탈                           -2.69%롯데정밀화학                     -2.18%대동                             -1.66%우림피티에스                     -1.11%양자컴퓨터(양자암호) 하위 5개 평균 -7.71%-------------------------------------아톤                             -12.00%시큐센                           -11.45%한울소재과학                     -8.93%코위버                           -8.07%에이엘티                         -7.55%타이어        하위 5개 평균 -7.65%-------------------------------------골든센츄리                       -66.67%효성티앤씨                       -3.51%한국타이어앤테크놀로지           -2.00%금호타이어                       -1.25%다이나믹디자인                   -1.03%보안주(정보) 하위 5개 평균 -7.30%-------------------------------------아톤                             -12.00%시큐센                           -11.45%라닉스                           -7.40%한컴위드                         -7.35%휴네시온                         -7.02%5G(5세대 이동통신) 하위 5개 평균 -7.25%-------------------------------------센서뷰                           -20.33%한울소재과학                     -8.93%이수페타시스                     -8.52%코위버                           -8.07%서진시스템                       -7.47%국내 상장 중국기업 하위 5개 평균 -6.90%-------------------------------------골든센츄리                       -66.67%오가닉티코스메틱                 -2.53%이스트아시아홀딩스               -1.61%피델릭스                         -0.94%글로벌에스엠                     -0.47%통신장비     하위 5개 평균 -6.76%-------------------------------------센서뷰                           -20.33%한울소재과학                     -8.93%코위버                           -8.07%서진시스템                       -7.47%우리넷                           -5.53%시스템반도체 하위 5개 평균 -5.34%-------------------------------------오픈엣지테크놀로지               -7.65%에이엘티                         -7.55%라닉스                           -7.40%아이에이                         -6.55%퀄리타스반도체                   -4.85%핀테크(FinTech) 하위 5개 평균 -5.31%-------------------------------------아톤                             -12.00%시큐센                           -11.45%한컴위드                         -7.35%이스트소프트                     -6.02%성우전자                         -3.66%,https://www.clien.net/service/board/cm_stock/18892573?od=T31&po=0&category=0&groupCd=
혹시 구글 시트로 주식 포트폴리오 관리 하시는 분 계실까요?,2025-01-07 12:42,자가 제작으로 만들어서 해봤는데정리가 안되는 느낌이네요;;이 유튜버 분이 공유한게 예뻐보이는데따로 신청하고 그래야 하더라구요혹시 쓰고 계신 템플릿 중에 잘쓰고 계신거 추천해주시면 감사드리겠습니다,https://www.clien.net/service/board/cm_stock/18892426?od=T31&po=0&category=0&groupCd=
오전장 주도주 / 테마주 순위 요약,2025-01-07 11:30,오전장 주도주 / 테마주 순위 요약상승 1등도 양자컴하락 1등도 양자컴이네요 ..오를 만큼 다 올라서 이제 찢어지는 건가요 .. ? ㅎ텍스트 버전은 하단에 ..**출처 : 테마랩테마주 상승률 순위==================================양자컴퓨터(양자암호) 상위 5개 평균 8.78%-------------------------------------바이오로그디바이스               29.99%씨이랩                           25.08%한국첨단소재                     21.36%아이윈플러스                     7.99%LG유플러스                       1.45%유리기판     상위 5개 평균 7.99%-------------------------------------램테크놀러지                     29.97%HB테크놀러지                     17.80%와이씨켐                         13.83%필옵틱스                         6.95%SKC                              3.65%OLED(유기 발광 다이오드) 상위 5개 평균 7.77%-------------------------------------램테크놀러지                     29.97%HB테크놀러지                     17.80%필옵틱스                         6.95%HB솔루션                         5.01%나래나노텍                       4.46%우크라이나 재건 상위 5개 평균 7.56%-------------------------------------범양건영                         26.97%대동기어                         11.97%삼부토건                         10.96%디와이디                         5.27%에쓰씨엔지니어링                 4.71%반도체 소재/부품 상위 5개 평균 7.24%-------------------------------------램테크놀러지                     29.97%와이씨켐                         13.83%테크윙                           5.98%이엔에프테크놀로지               5.43%메카로                           3.63%반도체 장비 상위 5개 평균 6.76%-------------------------------------HB테크놀러지                     17.80%지앤비에스 에코                  13.60%유니테스트                       7.17%테크윙                           5.98%프로텍                           5.75%건설 중소형 상위 5개 평균 6.66%-------------------------------------범양건영                         26.97%삼부토건                         10.96%우원개발                         6.32%디와이디                         5.27%에쓰씨엔지니어링                 4.71%자동차 소부장 상위 5개 평균 6.06%-------------------------------------평화산업                         12.22%대동기어                         11.97%케이엔알시스템                   7.59%한온시스템                       6.55%SNT다이내믹스                    6.48%의료기기     상위 5개 평균 5.71%-------------------------------------나노엔텍                         22.08%비보존 제약                      9.32%덴티움                           5.37%랩지노믹스                       5.26%제이엘케이                       4.27%2차전지       상위 5개 평균 5.61%-------------------------------------HB테크놀러지                     17.80%코스모화학                       7.22%필옵틱스                         6.95%대한유화                         4.78%SKC                              3.65%테마주 하락률 순위==================================양자컴퓨터(양자암호) 하위 5개 평균 -6.70%-------------------------------------시큐센                           -9.86%아톤                             -8.97%한울소재과학                     -8.80%엑스게이트                       -7.75%코위버                           -6.52%보안주(정보) 하위 5개 평균 -5.72%-------------------------------------시큐센                           -9.86%아톤                             -8.97%엑스게이트                       -7.75%휴네시온                         -6.51%아이씨티케이                     -6.18%통신장비     하위 5개 평균 -5.52%-------------------------------------센서뷰                           -19.68%한울소재과학                     -8.80%코위버                           -6.52%우리로                           -4.83%우리넷                           -4.78%5G(5세대 이동통신) 하위 5개 평균 -5.49%-------------------------------------센서뷰                           -19.68%한울소재과학                     -8.80%코위버                           -6.52%우리로                           -4.83%우리넷                           -4.78%지주사        하위 5개 평균 -4.80%-------------------------------------골든센츄리                       -33.33%일동홀딩스                       -3.25%두산밥캣                         -2.53%휴맥스홀딩스                     -1.99%APS                              -1.71%농업           하위 5개 평균 -4.08%-------------------------------------골든센츄리                       -33.33%포메탈                           -4.38%그린생명과학                     -1.68%롯데정밀화학                     -1.33%KG케미칼                         -0.26%핀테크(FinTech) 하위 5개 평균 -4.05%-------------------------------------시큐센                           -9.86%아톤                             -8.97%시큐브                           -4.92%코나아이                         -4.91%한컴위드                         -3.09%방위산업/전쟁 및 테러 하위 5개 평균 -4.00%-------------------------------------센서뷰                           -19.68%파이버프로                       -5.45%포메탈                           -4.38%웰크론                           -3.68%코츠테크놀로지                   -1.92%화장품        하위 5개 평균 -3.99%-------------------------------------올리패스                         -6.22%제닉                             -5.24%네이처셀                         -4.64%마녀공장                         -4.52%현대바이오                       -4.26%타이어        하위 5개 평균 -3.81%-------------------------------------골든센츄리                       -33.33%한국타이어앤테크놀로지           -1.25%효성티앤씨                       -1.24%한국앤컴퍼니                     -1.00%다이나믹디자인                   -0.61%,https://www.clien.net/service/board/cm_stock/18892387?od=T31&po=0&category=0&groupCd=
"특징주 단독, 속보 뉴스 모음 - 10:07 기준",2025-01-07 10:14,"특징주, 단독, 속보 뉴스 모음 - 10:07 기준텍스트 버전은 하단에 ..**출처 : 테마랩10:04[특징주]코웨이 주주환원 발표에 7% 급등10:03[특징주] JYP엔터, 킥플립 데뷔 기대감에 6%대 상승10:02[특징주] 램테크놀러지 등 유리기판 및 반도체 소부장株 '강세'10:02[특징주]한온시스템, 한국앤컴퍼니그룹 인수에 5% 급등10:02[특징주] 현대공업, 현대차 내장재 공급 계약 체결 소식에 장초반 상승10:01[특징주]삼성바이오로직스, JPM 헬스케어 콘퍼런스 앞두고 강세09:56[특징주] 한온시스템, 한국앤컴퍼니 피인수 소식에 강세09:54[특징주] 한온시스템, 한국앤컴퍼니그룹 피인수 완료 소식에 6%대↑09:54[특징주] 삼성바이오로직스, JP모건 콘퍼런스 참여에 '상승세'09:54[특징주] 케이엔알시스템 주가 급등, 핵융합 로봇팔 계약 호재...미래 에...09:53주주환원 정책 통했다…코웨이 장중 8% 급등 [특징주]09:52[특징주] JYP엔터, 4분기 호실적 기대감에 '강세'09:50[특징주] 조선주, 트럼프의 “동맹국 선박 건조 협력” 발언에 힘입어 ...09:50[특징주] CES 개막에 유리기판株 강세…HB테크놀러지 19% ↑09:49[특징주] 두산, 전일 이어 오늘도 신고가 경신09:48[특징주] 삼성바이오로직스, JPM 헬스케어 콘퍼런스 앞두고 '상승'09:47[특징주] 코웨이, 주주환원율 20%→40% 상향…주가 9%대 강세09:46[특징주] HB테크놀러지, 美 반도체주 훈풍에 '급등'09:46[특징주] 현대공업, 신형 팰리세이드 내장제 공급에 '강세'09:45[특징주]CES2025 개막에 주목받는 소·부·장株↑[속보] 대통령 경호처 ""박종준 경호처장 2차 출석 어렵다""09:56[속보]권성동, 김건희·내란 특검에 “당론으로 부결시킬 것”09:56[단독] 어린이보호구역서 신호 위반하고 순찰차 '쾅'…50대 체포09:53[속보]“엄중한 시기 한시도 자리 비울 수 없다”던 경호처장…‘변호...09:48[속보] 박종준 경호처장, 경찰 2차 출석 요구에 ""오늘 출석 어렵다""09:46[단독] SK하이닉스, HBM3E 16단에 한미반도체 TC본더 적용 [CES 2025]09:42[속보] 일본제철 회장 ""美 위법한 정치 개입…인수 불허 수용 못해""09:42[단독] 케플러 샤오팅, 中 소속사 계약 만료..국내 복귀 ""향후 활동 논의...09:40[속보]일본제철 회장 ""US스틸 인수 포기할 이유 없다""09:39[속보] 최상목 ""무안참사 유가족에 10일부터 긴급생계비 지원""09:38[속보] 경호처 ""박종준 처장, 경찰 2차 출석 어려워…변호인 선임 안 돼...09:35[속보] 경호처 “박종준, 오늘 경찰 출석 어렵다”…2차 소환 불응09:34[속보] 정부 ""제주항공 여객기 참사 유가족 긴급생계비 10일부터 지원""09:32[속보] 일본제철 회장 ""美 위법한 정치 개입… 인수불허 수용 못해""09:32[속보] 박종준 경호처장, 경찰 2차 출석 요구도 불응09:32[속보] 일본제철 회장 ""US스틸 인수 미일에 유익… 美사업 포기 안해""09:32캐시닥 용돈퀴즈 정답 1월 7일 [단독]09:31[속보] 경호처 ""박종준 처장, 오늘 출석 어려워…변호인 선임해 일정 조...09:31[단독]잇따르는 해저케이블 절단…한전, 세계 최초 보호설계기술 확보09:30[속보] 정부 ""여객기 참사 유가족 긴급생계비 10일부터 지원""",https://www.clien.net/service/board/cm_stock/18892329?od=T31&po=0&category=0&groupCd=
미국 신문 비지니스 1면 헤드라인 모음 1/6 월 (영문),2025-01-07 01:46,"안녕하세요.질문이 있으시거나 수정할 내용 발견하시면 댓글에 적어주세요.감사합니다.[[Los Angeles Times]]Ahoy! Popeye enters the public domainClassic works by Faulkner, Steinbeck and Hemingway also lost their copyright protection on Jan. 1.FAA chief: Boeing must shift focus to safety over profit[[USA Today]]Forget about Paris7 affordable European destinations in 202510 things you should never tell an AI chatbotNot all ‘forever’ documents are equalSome records you should never throw out[[The New York Times]]Jeju Air’s Problems Mount After Crash That Killed 179 PeopleSouth Korea’s leading low-cost carrier, heavy with debt and its stock already near record lows, is now facing intense public and government scrutiny.Arizona’s Tiny Taipei: How a Taiwanese Chip Factory Seeded a CommunityTaiwan Semiconductor Manufacturing Company, a global tech giant, brought thousands of workers from Asia to the Phoenix suburbs for jobs at a plant that the Biden administration helped fund.Chinese Companies Have Sidestepped Trump’s Tariffs. They Could Do It Again.The companies have found plenty of new channels to the U.S. market — demonstrating the potential limits of the tariffs Donald Trump has promised to impose.A Donor Gave Graduates a Big Cash Gift. Why Didn’t They All Get One?A billionaire gave $1,000 to University of Massachusetts Dartmouth graduates in May. The catch? You had to be there.[[Wall Street Journal]]Centerview Considers Stake DealBoutique bank, long seen as a holdout, is more open to exploring its optionshttps://www.wsj.com/finance/centerview-partners-bank-deals-3c24db25?st=T9Q74G&reflink=desktopwebshare_permalinkFactories Shift From Forklifts in Safety Pushhttps://www.wsj.com/business/forklift-safety-sales-drop-automation-f5cbaa9e?st=wpfwu3&reflink=desktopwebshare_permalinkOpen-Air Retail Is A Real-Estate Winnerhttps://www.wsj.com/real-estate/commercial/retail-is-fashionable-with-property-investors-again-but-only-the-unflashy-kind-58aedd3e?st=wLmrWP&reflink=desktopwebshare_permalinkGuns, Hostages, Arrests Become A Dangerous Reality in Mininghttps://www.wsj.com/finance/commodities-futures/global-minings-dangerous-new-reality-guns-hostages-arrests-63868366?st=cu2KEY&reflink=desktopwebshare_permalinkLaunchpad Shortage Worries U.S. Space Companieshttps://www.wsj.com/science/space-astronomy/rocket-launch-pads-texas-california-c180c7e5?st=LiPqqT&reflink=desktopwebshare_permalink[[Financial Times]] 영국에 위치한 니케이 소유 회사입니다.Shares in US build­ers tumble on fears of sus­tained high rates and Trump tar­iffsShares in US home­build­ers have tumbled as fears that interest rates will remain higher for longer add to con­cerns that pres­id­ent-elect Don­ald Trump’s poten­tial tar­iffs and mass deport­a­tions will raise con­struc­tion costs.Beijing seeks to curb ‘shake­down’ exec­ut­ive deten­tionsCent­ral gov­ern­ment fears ‘fish­ing’ by local author­it­ies will impede eco­nomic growthNote-tak­ing med­ical apps receive large cash injec­tions▸ Race to grab share of $26bn mar­ket ▸ Phys­i­cians run tri­als of AI ‘co-pilots’Crowd­Strike bounces back after largest IT out­age in his­toryCrowd­Strike, the cyber secur­ity com­pany behind the botched update that took down mil­lions of Win­dows PCs and serv­ers last July, has more than recovered the $30bn in mar­ket value it shed in the wake of the crisis.",https://www.clien.net/service/board/cm_stock/18892221?od=T31&po=0&category=0&groupCd=
미국 신문 1면 헤드라인 모음 1/6 월 (영문),2025-01-07 01:46,"안녕하세요.질문이 있으시거나 수정할 내용 발견하시면 댓글에 적어주세요.1면 pdf로 읽을 수 있는 링크.https://www.freedomforum.org/todaysfrontpages/#1감사합니다.[[Los Angeles Times]]Will hotel rise from ashes?The Morrison was made famous by the Doors, then suffered years of neglect. Just as it was set for a new lease on life, a fire tore through the building.Inside the U.S. effort to break up GoogleSearch and digital ad giant faces increasing scrutiny amid calls to open its technology to rivals and share data.Lawmakers and police bracing for Trump’s Jan. 6 riot pardonsWealthy town nears bankruptcy in dispute over affordable homesYou can’t fight City Hall, the adage goes, but here, residents are the GoliathA golden globes glowZoe Saldaña hits the red carpet at the Beverly Hilton in Beverly Hills.[[USA Today]]This time, certification of election less messy4 years after Trump supporters rioted at Capitol, lawmakers expect calmCarter’s spirit extends far, wideGa. procession makes stops in rural areasCancer warnings on alcohol? Not so fastEven advocacy groups acknowledge big hurdlesJohnson granted the speakership, but House GOP still has issuesMemories of 2020 weigh on some at the dawning of next Trump era[[The New York Times]]How the Democrats Lost The Working-Class VoteRancor Rose as Policies Left Some BehindThe seeds of Donald J. Trump’s victories were sown long ago.Signs of C.T.E. Vexed Soldier In Vegas BlastOn the Run, a Hit Man Gives a Final ConfessionDesperate to Testify in International Court About DuterteEdgar Matobato says he killed over 50 people for Rodrigo Duterte, the Davao City mayor who later became the Philippines’ president.Enter the Congestion ZoneThe toll program, the first of its kind in the U.S., costs up to $9 in the heart of Manhattan.Midlife Women, Sexy? Pop Culture Catches Up.It Seems They Needed a Change in NarratorIf Plains Was His Home, Atlanta Was His StageCarter’s Power Center Mutually Benefited[[Wall Street Journal]]China’s New Hacking Prowess Poses Geopolitical Threatshttps://www.wsj.com/tech/cybersecurity/typhoon-china-hackers-military-weapons-97d4ef95?st=LoUJtr&reflink=desktopwebshare_permalinkA Weaker Iran Looks To Tackle Trump 2.0https://www.wsj.com/world/middle-east/a-weakened-iran-prepares-to-face-trump-2-0-66ae0fbc?st=ZNLCyt&reflink=desktopwebshare_permalinkUber, Lyft Gear Up For the Revolution In Driverless Taxishttps://www.wsj.com/tech/uber-lyft-self-driving-taxis-a3659c9c?st=EimLuS&reflink=desktopwebshare_permalinkThis Man Dreamed Big: A Perfect Credit Scorehttps://www.wsj.com/personal-finance/credit/perfect-credit-score-achievement-02cb2ec2?st=qG5jhK&reflink=desktopwebshare_permalinkCredit Suisse Files Show Deeper Nazi TiesAccounts unearthed by the bank in 1990s weren’t disclosed to investigatorshttps://www.wsj.com/finance/banking/nazi-ties-to-credit-suisse-ran-deeper-than-was-known-hidden-files-reveal-285ab620?st=cJazTT&reflink=desktopwebshare_permalinkBig Chill Hits as Storm Sweeps Across the U. S.HOWLING: A powerful winter storm Sunday unleashed heavy snow, ice and frigid temperatures across a large part of the U.S., including St. Louis, above, snarling travel with a wave of flight cancellations and making roads hazardous.https://www.wsj.com/us-news/climate-environment/classic-major-winter-storm-creates-dangerous-travel-conditions-08d662ae?st=ss5JxB&reflink=desktopwebshare_permalinkThey Just Want to Have Cheap TicketsConcert fans wait out bargains; $9 to see Cyndi Lauperhttps://www.wsj.com/lifestyle/concert-tickets-cyndi-lauper-taylor-swift-springsteen-cheap-c45eba35?st=yMJPfD&reflink=desktopwebshare_permalinkTest Show Girls LaggingA WSJ analysis of test scores found girls losing ground in reading, math and science.https://www.wsj.com/us-news/education/test-scores-girls-boys-learning-loss-db020858?st=BQtdog&reflink=desktopwebshare_permalink[[Financial Times]] 영국에 위치한 니케이 소유 회사입니다.New York motor­ists become first in US to pay traffic con­ges­tion chargeNew York yes­ter­day became the first US city to launch a con­ges­tion charge zone in an effort to ease traffic log­jams.Wall St set for list­ings rush as private equity sheds hold­ings▸ Firms eager to tap buoy­ant mar­kets ▸ Trump policy pledges cheer investorsUK Reform party’s court­ship of Musk sours after he calls for Far­age to goElon Musk has called for the leader of the UK’s rightwing Reform party Nigel Far­age to be replaced after the Brit­ish politi­cian refused to endorse some of the tech bil­lion­aire’s latest claims.Canada’s feted pen­sion model is los­ing its lustreCanada’s pen­sion sys­tem has been the envy of the world since pion­eer­ing the so-called Maple model at the turn of the 1990s. Its deep alloc­a­tion to private mar­kets helped to drive domestic invest­ment and cre­ate the second-largest pen­sion sys­tem in the world. But des­pite being hailed as an example by Brit­ish chan­cel­lor Rachel Reeves, the funds have come under increas­ing scru­tiny for fall­ing returns, rising costs and polit­ical expos­ure.",https://www.clien.net/service/board/cm_stock/18892220?od=T31&po=0&category=0&groupCd=
"S&P500 에 투자할 경우, 미국 주식 ETF 가 나을까요, 한국형 ETF 가 나을까요?",2025-01-07 00:42,"S&P500을 꾸준히 구매하려 합니다.한국형 ETF는 KODEX 등 상품이 몇개 있는것 같고, 미국주식 뱅가드 S&P500 도 있을텐데요.해외주식은 수익의 20% 를 세금으로 내야 한다니 너무 아깝다는 생각이 듭니다.이를 고려해서, 한국 ETF 상품으로 모아갈까 하는데... 어떨까요?세금에도 불구하고 미국주식 직접 구입이 나은 이유가 있을까요?",https://www.clien.net/service/board/cm_stock/18892213?od=T31&po=0&category=0&groupCd=
하닉 이번달 안에 22 한번 터치할까요?,2025-01-07 23:44,고견을 듣고 싶습니다,https://www.fmkorea.com/index.php?mid=stock&category=2997203870&document_srl=7900151204
