종목명,단축코드
삼천당제약,000250
중앙에너비스,000440
신라섬유,001000
안국약품,001540
무림SP,001810
이화공영,001840
피에스텍,002230
삼일기업공사,002290
한탑,002680
신신제약,002800
선광,003100
대주산업,003310
하림지주,003380
에이스침대,003800
한국가구,004590
창해에탄올,004650
대륙제관,004780
동국산업,005160
동진쎄미켐,005290
푸드웰,005670
대원산업,005710
한일사료,005860
매일홀딩스,005990
국영지앤엠,006050
피제이전자,006140
동구바이오제약,006620
서부T&D,006730
보성파워텍,006910
모헨즈,006920
푸른저축은행,007330
진양제약,007370
네이처셀,007390
와이엠,007530
대원,007680
대명소노시즌,007720
한일화학,007770
에스엠코어,007820
원풍물산,008290
원풍,008370
부스타,008470
대동기어,008830
삼아제약,009300
포스코엠텍,009520
삼보산업,009620
이렘,009730
엠에스씨,009780
대한광통신,010170
흥국,010240
쌍용정보통신,010280
오리콤,010470
경동제약,011040
형지I&C,011080
유니크,011320
서한,011370
세보엠이씨,011560
뉴인텍,012340
원일특강,012620
리드코프,012700
신일제약,012790
모베이스전자,012860
하이록코리아,013030
동원개발,013120
아진산업,013310
CBI,013720
스페코,013810
아가방컴퍼니,013990
메디앙스,014100
원익큐브,014190
광림,014200
부방,014470
고려제약,014570
성광벤드,014620
오리엔탈정공,014940
삼륭물산,014970
코콤,015710
성우하이텍,015750
리더스코스메틱,016100
SGC E&C,016250
큐캐피탈,016600
디모아,016670
현대사료,016790
카스,016920
신원종합개발,017000
인터엠,017250
삼현철강,017480
세명전기,017510
대림제지,017650
한국알콜,017890
유니슨,018000
진로발효,018120
브이티,018290
삼목에스폼,018310
우진비앤지,018620
서울제약,018680
바른손,018700
베뉴지,019010
와이지-원,019210
일지테크,019540
SBI인베스트먼트,019550
플루토스,019570
엠벤처투자,019590
글로본,019660
서연탑메탈,019770
에너토크,019990
대신정보통신,020180
대동금속,020400
시공테크,020710
대호특수강,021040
대호특수강우,021045
에이티넘인베스트,021080
KCC건설,021320
한국큐빅,021650
메이슨캐피탈,021880
TKG애강,022220
태광,023160
유진기업,023410
제이스코홀딩스,023440
CNH,023460
삼보판지,023600
한국캐피탈,023760
플레이위드,023770
동일철강,023790
풍국주정,023900
대한약품,023910
흥구석유,024060
KB오토시스,024120
한일단조,024740
유성티엔에스,024800
이화전기,024810
세원물산,024830
KBI메탈,024840
HLB이노베이션,024850
케이피에프,024880
경창산업,024910
PN풍년,024940
삼천리자전거,024950
시노펙스,025320
DH오토웨어,025440
한국선재,025550
한국정보통신,025770
신라에스지,025870
케이씨피드,025880
동화기업,025900
동신건설,025950
아난티,025980
제이에스티나,026040
특수건설,026150
광진실업,026910
서울전자통신,027040
코리아나,027050
아주IB투자,027360
상보,027580
팜스토리,027710
대성창투,027830
휴맥스홀딩스,028080
HLB,028300
광무,029480
코엔텍,029960
드래곤플라이,030350
한글과컴퓨터,030520
원익홀딩스,030530
양지사,030960
아이즈비전,031310
에스에이엠티,031330
