keyword,mentionCount
반도체,32
코스피,24
글로벌,17
코스닥,15
금리,15
통신,13
차량,12
달러,11
바이오,10
모바일,9
엔터테인먼트,7
규제,6
건강,6
협력,5
공장,5
대통령,4
옵션,4
정책,4
장비,4
개선,4
이익,4
인터넷,4
기사,4
왔다,4
동맹,3
나갈,3
원에,3
받고,3
참여,3
조사,3
성장,3
환경,3
보는,3
보니,3
is,3
경영,3
go,3
부품,3
북한,3
상황,3
측은,3
브랜드,3
전문,3
비용,3
사는,3
사람,3
PC,3
점을,3
입니다,3
자동차,3
채널,3
프로그램,3
에너지,3
되는,3
했지만,3
행사,3
하는데,3
아시아,3
경쟁력,3
국가,3
시리즈,3
산업,3
경찰,3
경제,3
이다,3
계획,3
상태,2
소비자,2
준비,2
주의,2
원을,2
조정,2
전에,2
업체,2
여름,2
스마트,2
전략,2
성과,2
세력,2
아파트,2
재판,2
와의,2
장관,2
실리콘,2
슈퍼,2
지수는,2
조건,2
희망,2
사항,2
마케팅,2
들어,2
검찰,2
게임,2
고객,2
되면,2
현대,2
되고,2
구조,2
하던,2
그런,2
대회,2
대표,2
했다는,2
하지,2
단계,2
해야,2
기록,2
가구,2
호텔,2
or,2
밖에,2
처음,2
분기,2
치고,2
봤다,2
보고서,2
회장,2
클라우드,2
통화,2
IT,2
받는,2
PS,2
회의를,2
The,2
기능,2
현장,1
정치,1
회의에서,1
조직,1
했습니다,1
허가,1
활동,1
효과,1
혜택,1
했고,1
했다고,1
호텔에서,1
화학,1
하려면,1
주택,1
피해,1
컨설팅,1
콘서트,1
통합,1
차익,1
정보,1
트랙,1
패션,1
직원,1
지원,1
포인트,1
프로,1
플러스,1
하게,1
한다는,1
지는,1
하겠다,1
지구,1
하겠다고,1
하기,1
하니,1
지가,1
하다,1
하려고,1
줬다,1
채권,1
하자,1
정부,1
AP,1
점이,1
됐고,1
났다,1
네트워크,1
년간,1
노조,1
능력,1
담보대출,1
당국,1
도로,1
동향,1
됐으며,1
기관,1
됐지만,1
되기,1
되지,1
됩니다,1
드라마,1
드립니다,1
디지털,1
라도,1
라이프,1
남자,1
금융지주,1
리스트,1
개의,1
IN,1
IP,1
SP,1
all,1
at,1
ir,1
ver,1
가지,1
갔다,1
거래일,1
금융,1
경기,1
경쟁,1
과정,1
관계,1
국내외,1
국회,1
극장,1
금속,1
금액,1
롯데,1
면서,1
점검,1
올림픽,1
수수료,1
시대,1
신청,1
심리,1
심사,1
업무,1
에는,1
예방,1
예술,1
운영,1
수는,1
원으로,1
원은,1
월에,1
위기,1
위로,1
작업,1
장이,1
전쟁,1
전환,1
수를,1
수가,1
명으로,1
보호,1
모델,1
목표,1
미디어,1
받은,1
방송,1
번째,1
번호,1
별로,1
보다,1
볼륨,1
센터,1
부동산,1
분석,1
분야,1
블랙,1
사업자,1
사진제공,1
사회,1
상당히,1
II,1
세대,1
